subnum,trial,group,expression,entropy
2212,20,2,2,12.292359043604
2212,21,2,2,11.6091939149428
2212,22,2,1,11.3293331603244
2212,23,2,2,11.3038028954171
2212,24,2,2,11.1137467347686
2212,25,2,1,11.3742659136091
2212,26,2,2,11.3668296176433
2212,27,2,2,11.7222532293734
2212,28,2,1,12.3002543713416
2212,29,2,2,11.8371916366055
2212,30,2,1,12.3083028956675
2212,31,2,1,11.2737274789444
2212,32,2,2,10.7881932099482
2241,1,1,1,11.6159657779217
2241,2,1,1,11.6525249087487
2241,3,1,1,11.8137757221334
2241,4,1,2,11.3036569140505
2241,5,1,2,11.475397461408
2241,6,1,1,11.3354990256561
2241,7,1,2,11.7395705889964
2241,8,1,1,11.5947187950633
2241,9,1,2,12.1433948613951
2241,10,1,1,11.4957776336433
2241,11,1,1,11.9850918959634
2241,12,1,2,11.7890989394039
2241,13,1,2,11.6293313650835
2241,14,1,1,11.4154513264605
2241,15,1,2,11.6430348601192
2241,16,1,2,11.3803814150199
2241,17,1,1,11.6083472779349
2241,18,1,1,11.978068583298
2241,19,1,2,11.8550937367884
2241,20,1,1,11.4927996317491
2241,21,1,1,11.2628071454921
2241,22,1,1,11.7404507511466
2241,23,1,2,12.307082400218
2241,24,1,2,11.5196690757364
2241,25,1,1,11.5617207587456
2241,26,1,2,11.5865389449273
2241,27,1,1,11.3979910170586
2241,28,1,2,12.3771974078323
2241,29,1,1,11.3744772891295
2241,30,1,2,11.9138551250793
2241,31,1,2,11.4731993758225
2241,32,1,2,11.6260588494246
2252,1,2,2,11.2142254158177
2252,2,2,2,11.6700295795004
2252,3,2,2,11.2635029118068
2252,4,2,1,11.6106143255478
2252,5,2,2,11.7122850053196
2252,6,2,2,11.234938332608
2252,7,2,2,11.4569579331677
2252,8,2,1,11.9186803300325
2252,9,2,2,11.6494960858111
2252,10,2,1,11.4150801410611
2252,11,2,1,11.7303100960525
2252,12,2,2,11.8558079755646
2252,13,2,1,11.5031872211092
2252,14,2,1,11.7571074628992
2252,15,2,1,11.4721009589487
2252,16,2,2,11.6103465082025
2252,17,2,1,11.6652258694262
2252,18,2,2,11.2391824314846
2252,19,2,1,10.9929888868805
2252,20,2,2,11.4204620262111
2252,21,2,1,12.0670067409363
2252,22,2,2,11.7916710219463
2252,23,2,2,11.2296822834388
2252,24,2,1,11.8338276553358
2252,25,2,1,11.8871639774769
2252,26,2,2,11.523141907215
2252,27,2,1,11.3793368126766
2252,28,2,1,11.7867900504555
2252,29,2,1,11.3412154802169
2252,30,2,2,11.5019054380844
2252,31,2,1,11.5400337820742
2252,32,2,2,11.9140657770997
2291,1,1,2,11.9108491092156
2291,2,1,2,11.6966404288424
2291,3,1,1,11.6811885128974
2291,4,1,2,11.8318868396298
2291,5,1,2,11.6413125067132
2291,6,1,2,11.7347448492618
